epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.26693,0.74492,0.75,1,0.59019,6.668e-05,6.668e-05,6.668e-05
2,4.78381,0.69413,1,1,0.45363,0.000147059,0.000147059,0.000147059
3,7.01991,0.57828,1,1,0.33107,0.000224138,0.000224138,0.000224138
4,9.13188,0.53557,1,1,0.27528,0.000297916,0.000297916,0.000297916
5,11.2604,0.46148,1,1,0.22381,0.000368394,0.000368394,0.000368394
6,13.3168,0.40758,1,1,0.21264,0.00043557,0.00043557,0.00043557
7,15.8238,0.33891,0.75,1,0.26991,0.000499447,0.000499447,0.000499447
8,20.0607,0.30683,0.75,1,0.4125,0.000560022,0.000560022,0.000560022
9,24.3137,0.26084,0.75,1,0.52309,0.000617297,0.000617297,0.000617297
10,28.4731,0.18971,0.75,1,0.60898,0.000671271,0.000671271,0.000671271
11,32.7089,0.13583,0.75,1,0.63378,0.000721944,0.000721944,0.000721944
12,36.7485,0.12373,0.75,1,0.71927,0.000769317,0.000769317,0.000769317
13,40.8495,0.13495,0.75,1,0.77965,0.000813389,0.000813389,0.000813389
14,44.9038,0.10865,0.75,1,0.93387,0.000854161,0.000854161,0.000854161
15,49.1263,0.07039,0.75,1,1.19663,0.000891632,0.000891632,0.000891632
16,53.4941,0.09749,0.75,1,1.29556,0.000925802,0.000925802,0.000925802
17,58.0441,0.10506,0.75,1,1.40758,0.000956671,0.000956671,0.000956671
18,62.3293,0.13205,0.75,1,1.28266,0.00098424,0.00098424,0.00098424
19,66.7292,0.05628,0.75,1,1.04526,0.00100851,0.00100851,0.00100851
20,69.6078,0.10297,0.75,1,0.7271,0.00102948,0.00102948,0.00102948
21,72.5536,0.11459,0.75,1,0.63911,0.00100687,0.00100687,0.00100687
22,76.6597,0.09222,0.75,1,0.75701,0.000973861,0.000973861,0.000973861
23,80.9837,0.10123,0.75,1,1.02206,0.000940855,0.000940855,0.000940855
24,85.3696,0.1391,0.75,1,1.40932,0.000907848,0.000907848,0.000907848
25,87.4656,0.05358,0.75,1,1.66095,0.000874842,0.000874842,0.000874842
26,89.566,0.18031,0.75,1,1.95561,0.000841835,0.000841835,0.000841835
27,91.6558,0.05926,0.75,1,2.15438,0.000808828,0.000808828,0.000808828
28,93.805,0.20445,0.75,1,2.06084,0.000775822,0.000775822,0.000775822
29,95.8602,0.04514,0.75,1,1.91988,0.000742815,0.000742815,0.000742815
30,97.8968,0.07013,0.75,1,1.85803,0.000709809,0.000709809,0.000709809
31,100.022,0.0584,0.75,1,1.79488,0.000676802,0.000676802,0.000676802
32,102.112,0.11735,0.75,1,1.65137,0.000643795,0.000643795,0.000643795
33,104.199,0.04976,0.75,1,1.58086,0.000610789,0.000610789,0.000610789
34,106.316,0.0543,0.75,1,1.59662,0.000577782,0.000577782,0.000577782
35,108.384,0.05639,0.75,1,1.58776,0.000544776,0.000544776,0.000544776
36,110.437,0.08823,0.75,1,1.65547,0.000511769,0.000511769,0.000511769
37,112.474,0.05327,0.75,1,1.69823,0.000478762,0.000478762,0.000478762
38,114.559,0.04014,0.75,1,1.74058,0.000445756,0.000445756,0.000445756
39,116.594,0.03559,0.75,1,1.85014,0.000412749,0.000412749,0.000412749
40,118.694,0.08125,0.75,1,1.95532,0.000379743,0.000379743,0.000379743
41,120.787,0.12252,0.75,1,2.03334,0.000346736,0.000346736,0.000346736
42,122.928,0.21844,0.75,1,2.17643,0.000313729,0.000313729,0.000313729
43,125.037,0.06039,0.75,1,2.1531,0.000280723,0.000280723,0.000280723
44,127.345,0.09016,0.75,1,2.1598,0.000247716,0.000247716,0.000247716
45,129.586,0.06487,0.75,1,2.24888,0.00021471,0.00021471,0.00021471
46,131.754,0.02912,0.75,1,2.17311,0.000181703,0.000181703,0.000181703
47,133.971,0.05035,0.75,1,2.17095,0.000148696,0.000148696,0.000148696
48,136.244,0.06377,0.75,1,2.14005,0.00011569,0.00011569,0.00011569
49,138.418,0.05735,0.75,1,2.14766,8.26832e-05,8.26832e-05,8.26832e-05
50,140.554,0.04076,0.75,1,2.15879,4.96766e-05,4.96766e-05,4.96766e-05
